Year,Watershed,Unit,Value
2017,Metropolitan Parks & Markets,Total Volume of Waste (tonnes),539138
2017,Western Parks & Markets,Total Volume of Waste (tonnes),208163
2017,Southern Parks & Markets,Total Volume of Waste (tonnes),71140
2017,North-eastern Parks & Markets,Total Volume of Waste (tonnes),53603
2017,Total,Total Volume of Waste (tonnes),872044
2018,Metropolitan Parks & Markets,Total Volume of Waste (tonnes),479881
2018,Western Parks & Markets,Total Volume of Waste (tonnes),134988
2018,Southern Parks & Markets,Total Volume of Waste (tonnes),61061
2018,North-eastern Parks & Markets,Total Volume of Waste (tonnes),58354
2018,Total,Total Volume of Waste (tonnes),744283
