Year,Type of Mineral,Unit,Value
2014,Bauxite,(Tonnes),9677
2014,Alumina,(Tonnes),1851
2014,Silica Sand,(Tonnes),16
2014,Limestone,(Tonnes),2138
2014,Sand and Gravel,(Tonnes),2118
2014,Marl and Fill,(Tonnes),10320
2014,Shale,(Tonnes),308
2014,Pozzolan,(Tonnes),129
2014,Clay,(Tonnes),55
2014,Gypsum,(Tonnes),45
2015,Bauxite,(Tonnes),9629
2015,Alumina,(Tonnes),1865
2015,Silica Sand,(Tonnes),16
2015,Limestone,(Tonnes),1782
2015,Sand and Gravel,(Tonnes),2208
2015,Marl and Fill,(Tonnes),4304
2015,Shale,(Tonnes),241
2015,Pozzolan,(Tonnes),108
2015,Clay,(Tonnes),0
2015,Gypsum,(Tonnes),43
2016,Bauxite,(Tonnes),8540
2016,Alumina,(Tonnes),1865
2016,Silica Sand,(Tonnes),20
2016,Limestone,(Tonnes),2129
2016,Sand and Gravel,(Tonnes),1237
2016,Marl and Fill,(Tonnes),239
2016,Shale,(Tonnes),181
2016,Pozzolan,(Tonnes),129
2016,Clay,(Tonnes),0
2016,Gypsum,(Tonnes),50
2017,Bauxite,(Tonnes),8245
2017,Alumina,(Tonnes),1782
2017,Silica Sand,(Tonnes),21
2017,Limestone,(Tonnes),1971
2017,Sand and Gravel,(Tonnes),988
2017,Marl and Fill,(Tonnes),331
2017,Shale,(Tonnes),357
2017,Pozzolan,(Tonnes),95
2017,Clay,(Tonnes),0
2017,Gypsum,(Tonnes),46
2018,Bauxite,(Tonnes),10062
2018,Alumina,(Tonnes),2484
2018,Silica Sand,(Tonnes),16
2018,Limestone,(Tonnes),2266
2018,Sand and Gravel,(Tonnes),1251
2018,Marl and Fill,(Tonnes),506
2018,Shale,(Tonnes),255
2018,Pozzolan,(Tonnes),93
2018,Clay,(Tonnes),0
2018,Gypsum,(Tonnes),47
2011,Steam & Slow Speed Plants,('000 Mwh),1583.30
2011,Gas Turbines & Combined Cycle Plant,('000 Mwh),990.1
2011,Hydro,('000 Mwh),152.1
2011,Purchase from Independent Power Producers (IIPs) ('000 Mwh),1411.30
2011,Total,('000 Mwh),4136.80
2011,Percentage Contribution of Jamaica Public Service Company (JPSCo),(%),65.9
2011,Percentage Contribution of IIPs,(%),34.1
2011,Lossess & Accounted for,('000 MWh),920.9
2011,System losses as a percentage of net generation,(%),22.3
2012,Steam & Slow Speed Plants,('000 Mwh),1500.50
2012,Gas Turbines & Combined Cycle Plant,('000 Mwh),942.4
2012,Hydro,('000 Mwh),150.7
2012,Purchase from Independent Power Producers (IIPs),'000 Mwh),1542.30
2012,Total,('000 Mwh),4135.90
2012,Percentage Contribution of Jamaica Public Service Company (JPSCo),(%),62.7
2012,Percentage Contribution of IIPs,(%),37.3
2012,Lossess & Accounted for,('000 MWh),1032.90
2012,System losses as a percentage of net generation,(%),25.0
2013,Steam & Slow Speed Plants,('000 Mwh),1499.30
2013,Gas Turbines & Combined Cycle Plant,('000 Mwh),719.10
2013,Hydro,('000 Mwh),123.70
2013,Purchase from Independent Power Producers (IIPs),('000 Mwh),1799.50
2013,Total,('000 Mwh),4141.60
2013,Percentage Contribution of Jamaica Public Service Company (JPSCo),(%),56.6
2013,Percentage Contribution of IIPs,(%),43.4
2013,Lossess & Accounted for ('000 MWh),1097.20
2013,System losses as a percentage of net generation,(%),26.5
2014,Steam & Slow Speed Plants,('000 Mwh),1460.60
2014,Gas Turbines & Combined Cycle Plant,('000 Mwh),854.1
2014,Hydro,('000 Mwh),136.0
2014,Purchase from Independent Power Producers (IIPs) ('000 Mwh),1660.90
2014,Total,('000 Mwh),4111.60
2014,Percentage Contribution of Jamaica Public Service Company (JPSCo),(%),59.6
2014,Percentage Contribution of IIPs,(%),40.4
2014,Lossess & Accounted for,('000 MWh),1102.70
2014,System losses as a percentage of net generation,(%),27.0
2015,Steam & Slow Speed Plants,('000 Mwh),1530.00
2015,Gas Turbines & Combined Cycle Plant,('000 Mwh),870.9
2015,Hydro,('000 Mwh),129.0
2015,Purchase from Independent Power Producers (IIPs),('000 Mwh),1678.40
2015,Total,('000 Mwh),4208.30
2015,Percentage Contribution of Jamaica Public Service Company (JPSCo),(%),60.1
2015,Percentage Contribution of IIPs,(%),39.9
2015,Lossess & Accounted for,('000 MWh),1136.60
2015,System losses as a percentage of net generation,(%),27.0
2016,Steam & Slow Speed Plants,('000 Mwh),1668.30
2016,Gas Turbines & Combined Cycle Plant,('000 Mwh),770.0
2016,Hydro,('000 Mwh),118.7
2016,Purchase from Independent Power Producers (IIPs),('000 Mwh),1786.60
2016,Total,('000 Mwh),4343.6
2016,Percentage Contribution of Jamaica Public Service Company (JPSCo),(%),58.9
2016,Percentage Contribution of IIPs,(%),41.1
2016,Lossess & Accounted for,('000 MWh),1159.90
2016,System losses as a percentage of net generation,(%),27.0
2017,Steam & Slow Speed Plants,('000 Mwh),1466.70
2017,Gas Turbines & Combined Cycle Plant,('000 Mwh),912.4
2017,Hydro,('000 Mwh),154.2
2017,Purchase from Independent Power Producers (IIPs),('000 Mwh),1827.30
2017,Total,('000 Mwh),4360.60
2017,Percentage Contribution of Jamaica Public Service Company (JPSCo),(%),58.1
2017,Percentage Contribution of IIPs,(%),41.9
2017,Lossess & Accounted for,('000 MWh),1151.60
2017,System losses as a percentage of net generation,(%),26.0
2018,Steam & Slow Speed Plants,('000 Mwh),1354.60
2018,Gas Turbines & Combined Cycle Plant,('000 Mwh),1026.70
2018,Hydro,('000 Mwh),179.2
2018,Purchase from Independent Power Producers (IIPs),('000 Mwh),1795.10
2018,Total,('000 Mwh),4355.50
2018,Percentage Contribution of Jamaica Public Service Company (JPSCo),(%),58.8
2018,Percentage Contribution of IIPs,(%),41.2
2018,Lossess & Accounted for,('000 MWh),1144.00
2018,System losses as a percentage of net generation,(%),26.0
