Year,Category,Unit,Value
FY2019/2020,Central Government Expenditure,(J$ Million),395241.7
FY2019/2020,Tax Revenue,(J$ Million),343836.1
FY2019/2020,% Tax Revenue/ Cenral Government Expenditure,87.0
FY2013/2014,Central Government Expenditure,(J$ Million),395241.7
FY2013/2014,Tax Revenue,(J$ Million),343836.1
FY2013/2014,% Tax Revenue/ Cenral Government Expenditure,(%),87.0
FY2014/2015,Central Government Expenditure,(J$ Million),418986.9
FY2014/2015,Tax Revenue,(J$ Million),370877.73
FY2014/2015,% Tax Revenue/ Cenral Government Expenditure,(%),88.5
FY2015/2016,Central Government Expenditure,(J$ Million),460719.7
FY2015/2016,Tax Revenue,(J$ Million),411854.0
FY2015/2016,% Tax Revenue/ Cenral Government Expenditure,(%),89.4
FY2016/2017,Central Government Expenditure,(J$ Million),503356.0
FY2016/2017,Tax Revenue,(J$ Million),458323.4
FY2016/2017,% Tax Revenue/ Cenral Government Expenditure,(%),91.1
FY2017/2018,Central Government Expenditure,(J$ Million),552050.1
FY2017/2018,Tax Revenue,(J$ Million),496894.6
FY2017/2018,% Tax Revenue/ Cenral Government Expenditure,(%),90.0
FY2018/2019,Central Government Expenditure,(J$ Million),604597.5
FY201/2019,Tax Revenue,(J$ Million),542919.4
FY2018/2019,% Tax Revenue/ Cenral Government Expenditure,(%),89.9
FY2019/2020,Central Government Expenditure,(J$ Million),630354.4
FY2019/2020,Tax Revenue,(J$ Million),579397.1
FY2019/2020,% Tax Revenue/ Cenral Government Expenditure,(%),91.9
