Year,Subject,Sex,Parish,Value
2017,English A Only,Female,,5486
2017,English A Only,Male,,3485
2017,English A Only,,Jamaica,8971
2017,English A Only,,Kingston,617
2017,English A Only,,St  Andrew,1640
2017,English A Only,,St  Thomas,259
2017,English A Only,Portland,287
2017,English A Only,,St  Mary,461
2017,English A Only,,St  Ann,592
2017,English A Only,,Trelawny,264
2017,English A Only,,St  James,569
2017,English A Only,,Hanover,326
2017,English A Only,,Westmoreland,391
2017,English A Only,,St  Elizabeth,528
2017,English A Only,,Manchester,538
2017,English A Only,,Clarendon,916
2017,English A Only,,St  Catherine,1583
2017,Mathematics Only,Female,,1066
2017,Mathematics Only,Male,,1120
2017,Mathematics Only,,Jamaica,2186
2017,Mathematics Only,,Kingston,269
2017,Mathematics Only,,St  Andrew,535
2017,Mathematics Only,,St  Thomas,73
2017,Mathematics Only,Portland,50
2017,Mathematics Only,,St  Mary,163
2017,Mathematics Only,,St  Ann,119
2017,Mathematics Only,,Trelawny,39
2017,Mathematics Only,,St  James,141
2017,Mathematics Only,,Hanover,45
2017,Mathematics Only,,Westmoreland,76
2017,Mathematics Only,,St  Elizabeth,132
2017,Mathematics Only,,Manchester,85
2017,Mathematics Only,,Clarendon,173
2017,Mathematics Only,,St  Catherine,286
2017,English A and Mathematics,Female,,6002
2017,English A and Mathematics,Male,,3650
2017,English A and Mathematics,,Jamaica,9652
2017,English A and Mathematics,,Kingston,1048
2017,English A and Mathematics,,St  Andrew,2483
2017,English A and Mathematics,,St  Thomas,160
2017,English A and Mathematics,Portland,243
2017,English A and Mathematics,,St  Mary,279
2017,English A and Mathematics,,St  Ann,507
2017,English A and Mathematics,,Trelawny,280
2017,English A and Mathematics,,St  James,693
2017,English A and Mathematics,,Hanover,152
2017,English A and Mathematics,,Westmoreland,397
2017,English A and Mathematics,,St  Elizabeth,515
2017,English A and Mathematics,,Manchester,723
2017,English A and Mathematics,,Clarendon,1058
2017,English A and Mathematics,,St  Catherine,1114
2017,English A and/or Mathematics,Female,,12554
2017,English A and/or Mathematics,Male,,8255
2017,English A and/or Mathematics,,Jamaica,20809
2017,English A and/or Mathematics,,Kingston,1934
2017,English A and/or Mathematics,,St  Andrew,4658
2017,English A and/or Mathematics,,St  Thomas,492
2017,English A and/or Mathematics,Portland,580
2017,English A and/or Mathematics,,St  Mary,903
2017,English A and/or Mathematics,,St  Ann,1218
2017,English A and/or Mathematics,,Trelawny,583
2017,English A and/or Mathematics,,St  James,1403
2017,English A and/or Mathematics,,Hanover,523
2017,English A and/or Mathematics,,Westmoreland,864
2017,English A and/or Mathematics,,St  Elizabeth,1175
2017,English A and/or Mathematics,,Manchester,1346
2017,English A and/or Mathematics,,Clarendon,2147
2017,English A and/or Mathematics,,St  Catherine,2983
2017,Per cent of Cohort,Female,,62.6
2017,Per cent of Cohort,Male,,43.1
2017,Per cent of Cohort,,Jamaica,53.1
2017,Per cent of Cohort,,Kingston,61.8
2017,Per cent of Cohort,,St  Andrew,71.3
2017,Per cent of Cohort,,St  Thomas,37.7
2017,Per cent of Cohort,Portland,46.2
2017,Per cent of Cohort,,St  Mary,50.9
2017,Per cent of Cohort,,St  Ann,51.9
2017,Per cent of Cohort,,Trelawny,44.3
2017,Per cent of Cohort,,St  James,53.1
2017,Per cent of Cohort,,Hanover,39.6
2017,Per cent of Cohort,,Westmoreland,43.3
2017,Per cent of Cohort,,St  Elizabeth,46.7
2017,Per cent of Cohort,,Manchester,54.5
2017,Per cent of Cohort,,Clarendon,49.5
2017,Per cent of Cohort,,St  Catherine,47.8
