Year,Manufacturing Indicator,Value
2014,Manufacturing Value added as a proportion of total Value added,8.4
2014,Manufacturing Value added as a proportion of GDP,7.3
2015,Manufacturing Value added as a proportion of total Value added,8.5
2015,Manufacturing Value added as a proportion of GDP,7.4
2016,Manufacturing Value added as a proportion of total Value added,8.5
2016,Manufacturing Value added as a proportion of GDP,7.4
2017,Manufacturing Value added as a proportion of total Value added,8.6
2017,Manufacturing Value added as a proportion of GDP,7.5
2018,Manufacturing Value added as a proportion of total Value added,8.5
2018,Manufacturing Value added as a proportion of GDP,7.4
