Year,Financial Soundness Indicators-Deposit-taking Institution,Value
2015,Regulatory capital to risk-weighted assets,15.0
2015,Tier 1 capital to risk-weighted assets,15.1
2015,Non-performing loans (net) to capital,9.4
2015,Non-performing loans to total loans,4.0
2015,Return on assets,0.5
2015,Return on equity,3.0
2015,Interest margin to income,52.0
2015,Non-interest expenses to income,27.4
2015,Liquid assets to total assets,26.3
2015,Duration on assets -Domestic Bonds,0.0
2015,Duration on assets- Global Bonds,0.0
2015,NOP to capital (Regulatory),3.5
2016,Regulatory capital to risk-weighted assets,14.7
2016,Tier 1 capital to risk-weighted assets,14.2
2016,Non-performing loans (net) to capital,-2.2
2016,Non-performing loans to total loans,2.9
2016,Return on assets,0.7
2016,Return on equity,4.6
2016,Interest margin to income,48.7
2016,Non-interest expenses to income,23.0
2016,Liquid assets to total assets,25.3
2016,Duration on assets -Domestic Bonds,
2016,Duration on assets- Global Bonds,
2016,NOP to capital (Regulatory),3.5
2017,Regulatory capital to risk-weighted assets,15.1
2017,Tier 1 capital to risk-weighted assets,14.8
2017,Non-performing loans (net) to capital,1.2
2017,Non-performing loans to total loans,2.6
2017,Return on assets,2.4
2017,Return on equity,16.6
2017,Interest margin to income,54.8
2017,Non-interest expenses to income,75.8
2017,Liquid assets to total assets,26.2
2017,Duration on assets -Domestic Bonds,
2017,Duration on assets- Global Bonds,
2017,NOP to capital (Regulatory),10.6
2018,Regulatory capital to risk-weighted assets,14.6
2018,Tier 1 capital to risk-weighted assets,13.4
2018,Non-performing loans (net) to capital,2.4
2018,Non-performing loans to total loans,2.5
2018,Return on assets,3.1
2018,Return on equity,21.4
2018,Interest margin to income,47.5
2018,Non-interest expenses to income,69.6
2018,Liquid assets to total assets,28.6
2018,Duration on assets -Domestic Bonds,
2018,Duration on assets- Global Bonds,
2018,NOP to capital (Regulatory),10.1
2015,Regulatory capital to risk-weighted assets,21.5
2015,Tier 1 capital to risk-weighted assets,19.3
2015,Non-performing loans (net) to capital,0.6
2015,Non-performing loans to total loans,21.2
2015,Return on assets,0.4
2015,Return on equity,2.8
2015,Interest margin to income,30.9
2015,Non-interest expenses to income,29.4
2015,Liquid assets to total assets,12.4
2015,Duration on assets -Domestic Bonds,1.4
2015,Duration on assets- Global Bonds,5.1
2015,NOP to capital (Regulatory),11.8
2016,Regulatory capital to risk-weighted assets,20.5
2016,Tier 1 capital to risk-weighted assets,16.9
2016,Non-performing loans (net) to capital,0.1
2016,Non-performing loans to total loans,4.5
2016,Return on assets,0.6
2016,Return on equity,4.5
2016,Interest margin to income,25.8
2016,Non-interest expenses to income,32.1
2016,Liquid assets to total assets,12.3
2016,Duration on assets -Domestic Bonds,2.6
2016,Duration on assets- Global Bonds,8.1
2016,NOP to capital (Regulatory),23.6
2017,Regulatory capital to risk-weighted assets,19.0
2017,Tier 1 capital to risk-weighted assets,17.4
2017,Non-performing loans (net) to capital,0.0
2017,Non-performing loans to total loans,3.6
2017,Return on assets,0.7
2017,Return on equity,5.2
2017,Interest margin to income,24.5
2017,Non-interest expenses to income,35.5
2017,Liquid assets to total assets,15.9
2017,Duration on assets -Domestic Bonds,3.6
2017,Duration on assets- Global Bonds,10.3
2017,NOP to capital (Regulatory),14.9
2018,Regulatory capital to risk-weighted assets,19.8
2018,Tier 1 capital to risk-weighted assets,15.3
2018,Non-performing loans (net) to capital,-0.4
2018,Non-performing loans to total loans,0.6
2018,Return on assets,0.5
2018,Return on equity,3.9
2018,Interest margin to income,22.7
2018,Non-interest expenses to income,45.7
2018,Liquid assets to total assets,14.6
2018,Duration on assets -Domestic Bonds,3.2
2018,Duration on assets- Global Bonds,10.2
2018,NOP to capital (Regulatory),10.1
2017,Net premium to Capital,21.7
2017,Capital to Assets,30.3
2017,Receivables to gross premiums,204.2
2017,(Real estate + unquoted equities + debtors) to total assets,27.7
2017,Equities to total assets,3.1
2017,Risk retention ratio (net premium/gross premium),53.1
2017,Net technical reserves to average of net claims paid in last 3 years,376.5
2017,Return on assets,0.6
2017,Net claims to net premium earned,65.6
2017,Total expenses to net premium written,99.8
2017,Combined ratio = loss + expenses ratios,165.3
2017,Investment income to net premium,7.6
2017,Return on Equity,4.4
2017,Gross Premium to number of employees J$(000),8.0
2017,Assets per employee (Total assets to number of employees) J$(000),64.9
2017,Liquid assets to total liabilities,76.5
2018,Net premium to Capital,24.6
2018,Capital to Assets,29.3
2018,Receivables to gross premiums,190.4
2018,(Real estate + unquoted equities + debtors) to total assets,28.2
2018,Equities to total assets,3.6
2018,Risk retention ratio (net premium/gross premium),53.7
2018,Net technical reserves to average of net claims paid in last 3 years,418.6
2018,Return on assets,0.6
2018,Net claims to net premium earned,52.9
2018,Total expenses to net premium written,81.4
2018,Combined ratio = loss + expenses ratios,134.4
2018,Investment income to net premium,14.6
2018,Return on Equity,4.3
2018,Gross Premium to number of employees J$(000),9.1
2018,Assets per employee (Total assets to number of employees) J$(000),67.7
2018,Liquid assets to total liabilities,70.0
2017,Net premium to Capital,17.0
2017,Capital to Assets,26.4
2017,Capital to Technical Reserves,89.0
2017,Receivables to gross premiums,85.5
2017,(Real estate + unquoted equities + debtors) to total assets,4.7
2017,Equities to total assets,3.2
2017,Risk retention ratio (net premium/gross premium),98.7
2017,Net technical reserves to average of net premiums received in last 3yrs,740.1
2017,Investment income to investment assets,2.3
2017,Return on Equity,7.7
2017,Gross Premium to number of employees,7.4
2017,Assets per employee (Total assets to number of employees),161.4
2017,Duration of assets and liabilities -Domestic Bonds,2.8
2017,Duration of assets and liabilities - Global Bonds,10.3
2017,Liquid assets to total liabilities,29.4
2018,Net premium to Capital,16.1
2018,Capital to Assets,28.5
2018,Capital to Technical Reserves,100.5
2018,Receivables to gross premiums,76.6
2018,(Real estate + unquoted equities + debtors) to total assets,4.4
2018,Equities to total assets,3.7
2018,Risk retention ratio (net premium/gross premium),97.9
2018,Net technical reserves to average of net premiums received in last 3yrs,666.5
2018,Investment income to investment assets,1.8
2018,Return on Equity,8.0
2018,Gross Premium to number of employees,7.8
2018,Assets per employee (Total assets to number of employees),167.2
2018,Duration of assets and liabilities -Domestic Bonds,2.7
2018,Duration of assets and liabilities - Global Bonds,9.4
2018,Liquid assets to total liabilities,24.2
